pop,Hobs,natnon
aka,0.0889173783696731,Japan
ave,0.0928191344213667,Non-native
cfj,0.121022662250618,Non-native
cnt,0.0826849343223006,Japan
dhh,0.0360275762365748,Non-native
dns,0.104716559547017,Non-native
ebp,0.132935189678877,Non-native
eld,0.175316085125045,Non-native
far,0.13121044900525,Non-native
fdm,0.113941225413316,Non-native
fpa,0.123302587072235,Non-native
fut,0.066028107296368,Japan
gal,0.137481699015355,Non-native
grb,0.0923866252399092,Non-native
hay,0.0755581089878883,Japan
hik,0.0497392657743302,Japan
lhp,0.112914348652768,Non-native
mng,0.125263666451824,Japan
mou,0.0729046667793937,Japan
nyc,0.110219535333764,Non-native
osh,0.139564766846664,Non-native
pmo,0.14923227249111,Non-native
ptw,0.166382677263158,Non-native
sav,0.112020255001984,Non-native
shk,0.0672832292537488,Japan
sou,0.119665581815524,Japan
tmb,0.119318741727684,Non-native
uho,0.140686739355501,Non-native
usu,0.0797652552509265,Japan
waj,0.0894995053251319,Japan
wwf,0.145279443576774,Non-native
bob,0.126249099144563,Non-native
fpl,0.127504785564963,Non-native
dhd,0.0762874213728256,Non-native
ris,0.0435357580897895,Non-native
